"JURISDICTION","FINES","ARRESTS","CHARGES"
"ACT",913075,447,1532
"NSW",13225598,0,65031
"NT",545034,1379,5994
"QLD",14163645,0,0
"SA",2575193,3047,9522
"TAS",599524,19,4216
"VIC",20938453,0,0
"WA",10498287,4292,36437
