"LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
"All Regions","65 and over","non_wearing_seatbelts","Police issued",1384,10,107
"All Regions","65 and over","speed_fines","All Methods",0,0,147
"All Regions","65 and over","speed_fines","Average speed camera",1936,0,0
"All Regions","65 and over","speed_fines","Camera",16031,0,0
"All Regions","65 and over","speed_fines","Fixed camera",64829,0,0
"All Regions","65 and over","speed_fines","Mobile camera",146163,0,0
"All Regions","65 and over","speed_fines","Other",0,0,18
"All Regions","65 and over","speed_fines","Police issued",36896,9,65
"All Regions","65 and over","speed_fines","Red light camera",37999,0,0
"All Regions","65 and over","unlicensed_driving","Manual Action",710,24,329
"All Regions","65 and over","unlicensed_driving","Police issued",344,107,605
"All Regions","All Ages","mobile_phone_use","Camera",1057330,0,0
"All Regions","All Ages","mobile_phone_use","Fixed camera",301,0,0
"All Regions","All Ages","mobile_phone_use","Mobile camera",883,0,0
"All Regions","All Ages","mobile_phone_use","Police issued",1823160,0,0
"All Regions","All Ages","non_wearing_seatbelts","All Methods",1,0,0
"All Regions","All Ages","non_wearing_seatbelts","Camera",162946,0,0
"All Regions","All Ages","non_wearing_seatbelts","Fixed camera",182,0,0
"All Regions","All Ages","non_wearing_seatbelts","Mobile camera",702,0,0
"All Regions","All Ages","non_wearing_seatbelts","Police issued",236821,0,0
"All Regions","All Ages","speed_fines","All Methods",1,0,0
"All Regions","All Ages","speed_fines","Average speed camera",9804,0,0
"All Regions","All Ages","speed_fines","Camera",49339892,0,0
"All Regions","All Ages","speed_fines","Fixed camera",1148496,0,0
"All Regions","All Ages","speed_fines","Mobile camera",552124,0,0
"All Regions","All Ages","speed_fines","Other",0,0,0
"All Regions","All Ages","speed_fines","Police issued",2872277,0,1
"All Regions","All Ages","speed_fines","Red light camera",472667,0,0
"All Regions","All Ages","unlicensed_driving","Manual Action",162,0,2
"All Regions","All Ages","unlicensed_driving","Police issued",27703,0,2
"Inner Regional Australia","0-16","mobile_phone_use","Fixed camera",0,0,0
"Inner Regional Australia","0-16","mobile_phone_use","Mobile camera",0,0,0
"Inner Regional Australia","0-16","mobile_phone_use","Police issued",17,0,2
"Inner Regional Australia","0-16","non_wearing_seatbelts","Fixed camera",0,0,0
"Inner Regional Australia","0-16","non_wearing_seatbelts","Mobile camera",0,0,0
"Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",44,0,11
"Inner Regional Australia","0-16","speed_fines","Fixed camera",0,0,0
"Inner Regional Australia","0-16","speed_fines","Mobile camera",2,0,0
"Inner Regional Australia","0-16","speed_fines","Police issued",141,1,23
"Inner Regional Australia","0-16","unlicensed_driving","Manual Action",16,0,126
"Inner Regional Australia","0-16","unlicensed_driving","Police issued",38,0,164
"Inner Regional Australia","17-25","mobile_phone_use","Fixed camera",0,0,0
"Inner Regional Australia","17-25","mobile_phone_use","Mobile camera",497,0,0
"Inner Regional Australia","17-25","mobile_phone_use","Police issued",1545,0,12
"Inner Regional Australia","17-25","non_wearing_seatbelts","Fixed camera",0,0,0
"Inner Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",570,0,0
"Inner Regional Australia","17-25","non_wearing_seatbelts","Police issued",2043,0,55
"Inner Regional Australia","17-25","speed_fines","Fixed camera",3226,0,0
"Inner Regional Australia","17-25","speed_fines","Mobile camera",14546,0,0
"Inner Regional Australia","17-25","speed_fines","Police issued",46437,3,315
"Inner Regional Australia","17-25","unlicensed_driving","Manual Action",447,0,1800
"Inner Regional Australia","17-25","unlicensed_driving","Police issued",847,0,1960
"Inner Regional Australia","26-39","mobile_phone_use","Fixed camera",0,0,0
"Inner Regional Australia","26-39","mobile_phone_use","Mobile camera",2096,0,0
"Inner Regional Australia","26-39","mobile_phone_use","Police issued",2254,0,15
"Inner Regional Australia","26-39","non_wearing_seatbelts","Fixed camera",0,0,0
"Inner Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",1936,0,0
